artistName,endTime,source,trackName,valence,duration_ms
Saba,2019-02-12 02:14,0,Stoney,0.695,211296.0
Smino,2019-02-12 02:17,0,Menu,0.274,199040.0
YBN Cordae,2019-02-12 02:20,0,Kung Fu,0.258,199680.0
MadeinTYO,2019-02-12 02:20,0,Picture Me Rollin,0.253,168707.0
Bad Bunny,2019-02-12 02:23,0,Solo de Mi,0.15,197968.0
Bad Bunny,2019-02-12 02:27,0,Tenemos Que Hablar,0.144,224512.0
Bad Bunny,2019-02-12 02:30,0,Cuando Perriabas,0.499,188654.0
Bad Bunny,2019-02-12 02:34,0,NI BIEN NI MAL,0.337,236216.0
Bad Bunny,2019-02-12 02:39,0,RLNDT,0.142,284853.0
Bad Bunny,2019-02-12 02:41,0,¿Quien Tu Eres?,0.325,159229.0
Bad Bunny,2019-02-12 02:44,0,Si Estuviésemos Juntos,0.158,169248.0
Bad Bunny,2019-02-12 02:46,0,200 Mph,0.816,170509.0
Valee,2019-02-12 21:44,0,Womp Womp,0.493,226533.0
Valee,2019-02-12 21:49,0,Womp Womp,0.493,226533.0
21 Savage,2019-02-12 21:49,0,a lot,0.274,288624.0
McCafferty,2019-02-12 21:52,0,Beachboy,0.75,199341.0
Limbo,2019-02-12 21:55,0,Airplane Mode,0.07,164113.0
21 Savage,2019-02-12 21:56,0,a lot,0.274,288624.0
Saba,2019-02-12 21:59,0,Westside Bound 3,0.588,177246.0
Aaron Y Su Grupo Ilusion,2019-02-12 22:33,0,Todo Me Gusta De Ti,0.786,247893.0
Run The Jewels,2019-02-12 22:33,0,Close Your Eyes (And Count To Fuck),0.498,234160.0
Run The Jewels,2019-02-12 22:33,0,Talk to Me,0.714,151227.0
Mijares,2019-02-12 22:33,0,Si Me Tenías,0.27,239996.0
Oliver Tree,2019-02-12 22:36,0,Alien Boy,0.484,163525.0
Sammy J,2019-02-12 23:04,0,Potentially,0.452,214242.0
Sammy J,2019-02-12 23:04,0,Keep It Clean (F**K Song),0.561,152903.0
Sammy J,2019-02-12 23:34,0,You Held My Hand,0.534,260762.0
Marian Hill,2019-02-12 23:37,0,Got It,0.509,191947.0
Run The Jewels,2019-02-13 02:07,0,Legend Has It,0.467,205867.0
JID,2019-02-13 02:09,0,Off Deez (with J. Cole),0.431,213358.0
Saba,2019-02-13 02:09,0,LOGOUT,0.392,150108.0
Saba,2019-02-13 02:10,0,Stay Right Here,0.628,210133.0
JID,2019-02-13 02:10,0,Westbrook (with A$AP Ferg),0.432,237297.0
Jack Harlow,2019-02-13 02:10,0,Dark Knight,0.155,135747.0
Powers Pleasant,2019-02-13 02:13,0,"Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)",0.168,192347.0
JID,2019-02-13 02:17,0,Westbrook (with A$AP Ferg),0.432,237297.0
Smino,2019-02-13 03:04,0,Ciabatta,0.793,201176.0
Powers Pleasant,2019-02-13 03:37,0,"Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)",0.168,192347.0
Saba,2019-02-13 03:40,0,Photosynthesis,0.634,201733.0
Smino,2019-02-13 03:43,0,Ciabatta,0.793,201176.0
McCafferty,2019-02-13 22:38,0,Beachboy,0.75,199341.0
Limbo,2019-02-13 22:41,0,Airplane Mode,0.07,164113.0
Saba,2019-02-13 22:54,0,Westside Bound 3,0.588,177246.0
21 Savage,2019-02-13 22:54,0,a lot,0.274,288624.0
